,times(seconds),x,y,z
1890,37.866625924419736,1.30898,0.55571,0.0
1891,37.8866611762316,1.3077,0.56452,0.0
1892,37.90669642804346,1.30626,0.57354,0.0
1893,37.92673167985532,1.30497,0.58265,0.0
1894,37.946766931667185,1.30355,0.59177,0.0
1895,37.96680218347905,1.30217,0.60103,0.0
1896,37.98683743529091,1.30066,0.61047,0.0
1897,38.00687268710277,1.29928,0.61974,0.0
1898,38.02690793891463,1.2978,0.62892,0.0
1899,38.046943190726495,1.29618,0.63789,0.0
1900,38.06697844253836,1.29484,0.64696,0.0
1901,38.08701369435022,1.29346,0.65606,0.0
1902,38.10704894616208,1.29215,0.66487,0.0
1903,38.12708419797394,1.29097,0.67381,0.0
1904,38.147119449785805,1.28963,0.68253,0.0
1905,38.16715470159767,1.28698,0.70105,0.0
1906,38.18718995340953,1.28549,0.71025,0.0
1907,38.20722520522139,1.28549,0.71025,0.0
1908,38.22726045703325,1.28268,0.72889,0.0
1909,38.247295708845115,1.28112,0.73821,0.0
1910,38.26733096065698,1.27971,0.74756,0.0
1911,38.28736621246884,1.27808,0.75645,0.0
1912,38.3074014642807,1.27808,0.75645,0.0
1913,38.32743671609256,1.27506,0.77477,0.0
1914,38.347471967904426,1.27362,0.7836,0.0
1915,38.367507219716295,1.27232,0.79269,0.0
1916,38.38754247152816,1.27088,0.80195,0.0
1917,38.40757772334002,1.26975,0.81111,0.0
1918,38.42761297515188,1.26836,0.82053,0.0
1919,38.44764822696374,1.26718,0.83015,0.0
1920,38.467683478775605,1.26589,0.8397,0.0
1921,38.48771873058747,1.26444,0.84917,0.0
1922,38.50775398239933,1.26327,0.85874,0.0
1923,38.52778923421119,1.26202,0.86811,0.0
1924,38.54782448602305,1.26062,0.87724,0.0
1925,38.567859737834915,1.2593,0.88676,0.0
1926,38.58789498964678,1.25807,0.89598,0.0
1927,38.60793024145864,1.2569,0.90532,0.0
1928,38.6279654932705,1.25579,0.91462,0.0
1929,38.64800074508236,1.25463,0.92381,0.0
1930,38.668035996894226,1.25362,0.93314,0.0
1931,38.68807124870609,1.25268,0.94268,0.0
