,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
364,-0.00294,-0.00905,-1.00078,0.16121,0.09566,0.00854
365,-0.07605,-0.04195,-0.99641,0.01906,-0.06066,0.1051
366,-0.00368,0.13145,-1.03457,0.00289,-0.03113,-0.09419
367,-0.00096,-0.01515,-0.97675,0.07221,-0.05488,0.01666
368,-0.05012,0.0361,-0.98634,-0.14868,0.01665,0.00066
369,0.0096,0.05341,-1.05832,0.15727,0.04977,-0.07415
370,0.00966,-0.07246,-0.92045,-0.11546,-0.01306,0.09602
371,-0.02079,0.01519,-1.125,-0.10376,-0.0735,0.01843
372,0.04481,0.03251,-0.93659,0.11914,0.04443,-0.07624
373,0.01658,-0.02676,-0.93613,0.0374,-0.00993,0.04457
374,-0.02657,0.02737,-1.11984,0.11546,-0.03026,-0.01762
375,0.04685,-0.0138,-0.92354,0.09709,0.10649,0.00201
376,-0.03628,0.02871,-0.99698,-0.18609,-0.02398,0.01738
377,-0.00229,0.05702,-1.05041,0.03778,0.0182,-0.04225
378,0.00221,-0.05159,-0.93412,0.00721,0.01896,0.08277
379,-0.05122,0.08285,-1.04009,-0.06834,-0.00235,-0.03635
380,-0.01208,0.02483,-1.04348,0.19069,-0.00796,-0.00814
381,-0.02288,-0.02082,-0.93017,0.06124,-0.09964,0.03133
382,-0.01899,0.06186,-1.09267,0.02754,-0.02763,-0.06667
383,0.01494,-0.02221,-0.92997,0.07721,0.10023,0.0125
384,-0.01668,-0.00346,-1.01235,-0.09364,-0.00078,0.06696
385,0.01638,0.04114,-1.02781,0.07573,-0.02843,-0.0566
386,0.03567,-0.05574,-0.96633,-0.15744,-0.05875,0.09724
387,0.02077,0.00844,-0.97667,0.0984,0.07595,-0.04585
388,-0.01213,-0.06141,-0.9789,-0.05151,0.07935,0.15419
389,0.0046,0.11735,-1.01966,-0.04589,0.0045,-0.10401
390,0.01277,-0.04003,-1.01809,-0.06228,0.05666,0.06402
391,-0.03568,0.0191,-0.97593,-0.25493,0.00754,-0.00631
392,0.02208,0.08708,-1.02316,0.10533,-0.0159,-0.0813
