,x,y,z
481,1.22705,1.17609,0.0
482,1.2179,1.17596,0.0
483,1.20878,1.17608,0.0
484,1.2003,1.17635,0.0
485,1.19239,1.17631,0.0
486,1.18518,1.17623,0.0
487,1.17902,1.17665,0.0
488,1.17337,1.17708,0.0
489,1.16773,1.17714,0.0
490,1.16185,1.17722,0.0
491,1.15549,1.17737,0.0
492,1.14829,1.17717,0.0
493,1.14008,1.1767,0.0
494,1.13088,1.17656,0.0
495,1.11144,1.1765,0.0
496,1.10176,1.17611,0.0
497,1.09269,1.17602,0.0
498,1.08434,1.17563,0.0
499,1.07674,1.17571,0.0
500,1.06968,1.17595,0.0
501,1.06296,1.17578,0.0
502,1.05614,1.17574,0.0
503,1.04882,1.17592,0.0
504,1.04096,1.17582,0.0
505,1.03235,1.1756,0.0
506,1.02308,1.17557,0.0
507,1.01322,1.17577,0.0
508,1.00297,1.17533,0.0
509,0.99295,1.17508,0.0
510,0.98317,1.17509,0.0
511,0.97413,1.17499,0.0
512,0.9657,1.17506,0.0
513,0.95769,1.17504,0.0
514,0.95013,1.17472,0.0
515,0.94273,1.17478,0.0
516,0.93501,1.17485,0.0
517,0.92694,1.1746,0.0
518,0.91825,1.17462,0.0
519,0.90904,1.175,0.0
520,0.88898,1.17437,0.0
521,0.87872,1.17452,0.0
522,0.86841,1.17425,0.0
523,0.85858,1.17422,0.0
524,0.8494,1.17426,0.0
525,0.84061,1.17382,0.0
526,0.83231,1.17372,0.0
527,0.8242,1.1734,0.0
528,0.81606,1.17303,0.0
529,0.80785,1.17308,0.0
530,0.7991,1.17289,0.0
531,0.78973,1.17224,0.0
532,0.77983,1.17215,0.0
533,0.76965,1.17224,0.0
534,0.75908,1.17198,0.0
535,0.74851,1.17188,0.0
536,0.73821,1.1718,0.0
537,0.72828,1.1715,0.0
538,0.71894,1.17127,0.0
539,0.70991,1.1712,0.0
540,0.70148,1.17148,0.0
541,0.69279,1.17124,0.0
542,0.68412,1.17086,0.0
543,0.6753,1.17109,0.0
544,0.66605,1.17095,0.0
545,0.65624,1.17061,0.0
546,0.64584,1.17074,0.0
547,0.63525,1.17065,0.0
548,0.62453,1.17037,0.0
549,0.61394,1.17035,0.0
550,0.59402,1.16978,0.0
551,0.58472,1.16949,0.0
552,0.5758,1.1693,0.0
553,0.56711,1.16924,0.0
554,0.55827,1.16882,0.0
555,0.5494,1.16892,0.0
556,0.54007,1.16919,0.0
557,0.53023,1.16892,0.0
558,0.52003,1.16865,0.0
559,0.5093,1.16858,0.0
560,0.49851,1.16827,0.0
561,0.48771,1.16818,0.0
562,0.47714,1.1681,0.0
563,0.46677,1.16796,0.0
564,0.45687,1.16775,0.0
565,0.44732,1.16747,0.0
566,0.43814,1.16749,0.0
567,0.42891,1.16705,0.0
568,0.41968,1.16682,0.0
569,0.41039,1.16672,0.0
570,0.40076,1.16649,0.0
571,0.39067,1.16601,0.0
572,0.38005,1.16592,0.0
573,0.3693,1.16549,0.0
574,0.3583,1.16503,0.0
575,0.34738,1.16476,0.0
576,0.33643,1.16451,0.0
577,0.32588,1.16417,0.0
578,0.3158,1.16352,0.0
579,0.3061,1.16339,0.0
580,0.28727,1.16243,0.0
581,0.27795,1.1621,0.0
582,0.26832,1.16165,0.0
583,0.26832,1.16165,0.0
584,0.24793,1.16098,0.0
585,0.23711,1.16073,0.0
586,0.22605,1.16034,0.0
587,0.21507,1.1601,0.0
588,0.20446,1.1596,0.0
589,0.19487,1.15896,0.0
590,0.18638,1.15816,0.0
591,0.17952,1.15777,0.0
592,0.17375,1.15739,0.0
593,0.16873,1.15704,0.0
594,0.164,1.15709,0.0
595,0.15943,1.15695,0.0
596,0.15443,1.15662,0.0
597,0.15443,1.15662,0.0
598,0.14244,1.15628,0.0
599,0.1356,1.15608,0.0
600,0.12839,1.15591,0.0
601,0.12116,1.1556,0.0
602,0.12116,1.1556,0.0
603,0.10899,1.15517,0.0
604,0.10472,1.15489,0.0
605,0.10172,1.15441,0.0
606,0.09995,1.15394,0.0
607,0.09839,1.15379,0.0
608,0.09676,1.1537,0.0
609,0.09511,1.15356,0.0
610,0.09339,1.15352,0.0
611,0.09171,1.15346,0.0
612,0.09012,1.15319,0.0
613,0.08868,1.15299,0.0
614,0.08733,1.15276,0.0
615,0.08598,1.15265,0.0
616,0.08463,1.15266,0.0
617,0.08335,1.15262,0.0
618,0.08214,1.1526,0.0
619,0.08102,1.15251,0.0
620,0.08002,1.15245,0.0
621,0.0791,1.15245,0.0
622,0.07824,1.15258,0.0
623,0.07739,1.15265,0.0
624,0.07661,1.15273,0.0
625,0.076,1.15276,0.0
626,0.07553,1.15279,0.0
627,0.07513,1.15282,0.0
628,0.07479,1.1528,0.0
629,0.07452,1.15277,0.0
630,0.07437,1.15275,0.0
631,0.0743,1.15272,0.0
632,0.07435,1.15262,0.0
633,0.07449,1.15258,0.0
634,0.0747,1.1526,0.0
635,0.07494,1.15262,0.0
636,0.07522,1.15266,0.0
637,0.07556,1.15271,0.0
638,0.07595,1.15274,0.0
639,0.07642,1.15271,0.0
640,0.07686,1.15266,0.0
641,0.07732,1.15267,0.0
642,0.07762,1.15266,0.0
643,0.07785,1.15257,0.0
644,0.07797,1.15256,0.0
645,0.07804,1.15252,0.0
646,0.07808,1.1525,0.0
647,0.07811,1.1525,0.0
648,0.07813,1.15249,0.0
649,0.07814,1.15246,0.0
650,0.07814,1.15243,0.0
651,0.07815,1.15241,0.0
652,0.07814,1.15241,0.0
653,0.07833,1.15244,0.0
654,0.07853,1.15246,0.0
655,0.07871,1.15245,0.0
656,0.07892,1.15237,0.0
657,0.07909,1.15237,0.0
658,0.07916,1.15234,0.0
659,0.07918,1.1523,0.0
660,0.07917,1.15226,0.0
661,0.07924,1.15194,0.0
662,0.07948,1.15096,0.0
663,0.08014,1.14887,0.0
664,0.08155,1.14516,0.0
665,0.08347,1.13976,0.0
666,0.08493,1.13237,0.0
667,0.08629,1.12334,0.0
668,0.08657,1.11386,0.0
669,0.0862,1.10387,0.0
670,0.08622,1.09447,0.0
671,0.08644,1.08525,0.0
672,0.08684,1.07665,0.0
673,0.08743,1.06909,0.0
674,0.08792,1.06215,0.0
675,0.08839,1.05574,0.0
676,0.08884,1.05007,0.0
677,0.0893,1.0445,0.0
678,0.08976,1.03845,0.0
679,0.09013,1.03207,0.0
680,0.0905,1.02508,0.0
681,0.09081,1.00879,0.0
682,0.09082,0.99992,0.0
683,0.09082,0.99122,0.0
684,0.09107,0.98293,0.0
685,0.09134,0.97507,0.0
686,0.09187,0.96778,0.0
687,0.09267,0.96067,0.0
688,0.09347,0.95347,0.0
689,0.09437,0.94639,0.0
690,0.09508,0.93924,0.0
691,0.09566,0.93135,0.0
692,0.09594,0.92301,0.0
693,0.0962,0.91475,0.0
694,0.09628,0.90593,0.0
695,0.09631,0.89671,0.0
696,0.09655,0.8879,0.0
697,0.0969,0.87896,0.0
698,0.09728,0.87001,0.0
699,0.09796,0.86139,0.0
700,0.09872,0.8533,0.0
701,0.09954,0.84501,0.0
702,0.10063,0.83705,0.0
703,0.10145,0.82937,0.0
704,0.10223,0.82097,0.0
705,0.10284,0.81213,0.0
706,0.10303,0.80322,0.0
707,0.10345,0.79407,0.0
708,0.10374,0.78458,0.0
709,0.10388,0.7753,0.0
710,0.10422,0.76625,0.0
711,0.10467,0.75706,0.0
712,0.10528,0.74831,0.0
713,0.10598,0.73966,0.0
714,0.10676,0.7306,0.0
715,0.10751,0.72205,0.0
716,0.1083,0.71357,0.0
717,0.10906,0.70452,0.0
718,0.10963,0.69545,0.0
719,0.11011,0.68631,0.0
720,0.11053,0.67655,0.0
721,0.11087,0.66692,0.0
722,0.11109,0.65744,0.0
723,0.11148,0.64757,0.0
724,0.11187,0.63826,0.0
725,0.11256,0.62915,0.0
726,0.11319,0.61974,0.0
727,0.11372,0.61063,0.0
728,0.11444,0.60161,0.0
729,0.11498,0.59225,0.0
730,0.11551,0.58303,0.0
731,0.11593,0.57356,0.0
732,0.11638,0.56381,0.0
733,0.11673,0.55409,0.0
734,0.11716,0.54391,0.0
735,0.11746,0.53398,0.0
736,0.11778,0.52408,0.0
737,0.11818,0.51439,0.0
738,0.11855,0.50495,0.0
739,0.11896,0.49547,0.0
740,0.11961,0.486,0.0
741,0.12022,0.47628,0.0
742,0.12082,0.46665,0.0
743,0.12126,0.45658,0.0
744,0.12158,0.44663,0.0
745,0.12208,0.43665,0.0
746,0.12248,0.42665,0.0
747,0.12283,0.41677,0.0
748,0.12318,0.40675,0.0
749,0.12342,0.3969,0.0
750,0.1236,0.38722,0.0
751,0.12387,0.37758,0.0
752,0.12401,0.36805,0.0
753,0.12408,0.35852,0.0
754,0.12449,0.34891,0.0
755,0.12477,0.33926,0.0
756,0.12517,0.32946,0.0
757,0.12554,0.31958,0.0
758,0.12578,0.30985,0.0
759,0.12613,0.29992,0.0
760,0.12623,0.28998,0.0
761,0.12645,0.27021,0.0
762,0.12657,0.26041,0.0
763,0.12671,0.25064,0.0
764,0.12687,0.24061,0.0
765,0.12694,0.23077,0.0
766,0.12699,0.22064,0.0
767,0.12705,0.21093,0.0
768,0.12706,0.20134,0.0
769,0.12712,0.1915,0.0
770,0.12691,0.18175,0.0
771,0.12696,0.17181,0.0
772,0.12697,0.16165,0.0
773,0.12682,0.15176,0.0
774,0.12668,0.14151,0.0
775,0.12627,0.13145,0.0
776,0.1261,0.12144,0.0
777,0.12574,0.1116,0.0
778,0.12529,0.10193,0.0
779,0.12482,0.09233,0.0
780,0.12428,0.08302,0.0
781,0.12378,0.07416,0.0
782,0.12342,0.06611,0.0
783,0.12317,0.05866,0.0
784,0.12307,0.05206,0.0
785,0.12317,0.04616,0.0
786,0.12353,0.04055,0.0
787,0.12361,0.03491,0.0
788,0.12349,0.02948,0.0
789,0.12301,0.01826,0.0
790,0.12249,0.01175,0.0
791,0.12169,0.00529,0.0
792,0.12086,-0.00062,0.0
793,0.12024,-0.00629,0.0
794,0.11963,-0.01185,0.0
795,0.1192,-0.01665,0.0
796,0.11927,-0.02014,0.0
797,0.11974,-0.02261,0.0
798,0.12045,-0.02452,0.0
799,0.1212,-0.02643,0.0
800,0.12179,-0.02846,0.0
801,0.12231,-0.03043,0.0
802,0.12272,-0.03235,0.0
803,0.12288,-0.03422,0.0
804,0.12305,-0.03575,0.0
805,0.12317,-0.03695,0.0
806,0.12328,-0.03793,0.0
807,0.12327,-0.03841,0.0
808,0.12331,-0.03835,0.0
809,0.12334,-0.0379,0.0
810,0.12335,-0.03734,0.0
811,0.12339,-0.03686,0.0
812,0.12331,-0.03643,0.0
813,0.1232,-0.03615,0.0
814,0.12314,-0.03595,0.0
815,0.12302,-0.0358,0.0
816,0.12283,-0.03565,0.0
817,0.12292,-0.03586,0.0
818,0.12291,-0.0361,0.0
819,0.12296,-0.03629,0.0
820,0.123,-0.03636,0.0
821,0.12311,-0.03644,0.0
822,0.12324,-0.03654,0.0
823,0.12336,-0.03655,0.0
824,0.1236,-0.03654,0.0
825,0.12374,-0.03652,0.0
826,0.12378,-0.03639,0.0
827,0.12385,-0.03627,0.0
828,0.12388,-0.0362,0.0
829,0.12385,-0.03619,0.0
830,0.12387,-0.03618,0.0
831,0.12369,-0.03623,0.0
832,0.12351,-0.03623,0.0
833,0.12339,-0.03626,0.0
834,0.12328,-0.03622,0.0
835,0.12318,-0.03619,0.0
836,0.12301,-0.03622,0.0
837,0.12284,-0.03617,0.0
838,0.12273,-0.03604,0.0
839,0.12265,-0.03596,0.0
840,0.12262,-0.03594,0.0
841,0.12259,-0.03594,0.0
842,0.12257,-0.03597,0.0
843,0.12255,-0.03601,0.0
844,0.12252,-0.03605,0.0
845,0.12252,-0.0361,0.0
846,0.1225,-0.03616,0.0
847,0.12248,-0.03619,0.0
848,0.1225,-0.03625,0.0
849,0.12254,-0.03631,0.0
850,0.12258,-0.03635,0.0
851,0.12266,-0.03643,0.0
